base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,Competitive,Cooperative,8bit_vector,4bit_orig,norm,norm_desc,variant_id,Emotion_Leniency,DNF,DNF_literals
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,26.221,0.1,0.1,0.0,0.8,0.2,0.8,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,27.304,0.0,0.1,0.02,0.88,0.88,0.12,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,24.88,0.04,0.02,0.02,0.92,0.96,0.04,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.0,40.133,0.14,0.18,0.0,0.68,0.7,0.3,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,27.206,0.02,0.08,0.06,0.84,0.48,0.52,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,24.835,0.0,0.1,0.02,0.88,0.88,0.12,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,17.855,0.02,0.12,0.02,0.84,0.16,0.84,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,29.073,0.0,0.24,0.0,0.76,0.1,0.9,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,26.148,0.04,0.02,0.0,0.94,0.94,0.06,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
"[[0, 0], [1, 1]]","[[(0, 0), (0, 0)], [(1, 1), (1, 1)]]",50,2000,1.0,0.01,0.01,0.0,5,1,1.0,2000,100,0.0,1.0,0.0,0.1,34.992,0.0,0.04,0.0,0.96,0.5,0.5,00001111,0011,ImageScoring,"Cooperation always good, defection always bad (action-only).",ImageScoring_v1,1.0,A,1
