variant_id,DNF_literals,Emotion_Leniency,gamma_center,is_base,avg_coop,std_coop,DNF,avg_coop_percent,std_coop_percent
ImageScoring_v2,4,0.75,0.7,False,21.27188,7.568376559104877,(A & E) | (A & ~R),21.27188,7.568376559104877
ImageScoring_v2,4,0.75,0.8,False,19.09612,6.604063444978866,(A & E) | (A & ~R),19.09612,6.604063444978866
ImageScoring_v2,4,0.75,0.9,False,20.95986,7.194211806071061,(A & E) | (A & ~R),20.95986,7.194211806071061
ImageScoring_v2,4,0.75,1.0,False,21.714740000000003,7.374054786360414,(A & E) | (A & ~R),21.714740000000003,7.374054786360414
ImageScoring_v3,4,0.75,0.0,False,28.0842,5.419530855514852,(A & E) | (A & R),28.0842,5.419530855514852
ImageScoring_v3,4,0.75,0.1,False,32.326460000000004,6.540316456832207,(A & E) | (A & R),32.326460000000004,6.540316456832207
ImageScoring_v3,4,0.75,0.2,False,33.251039999999996,6.631316355793338,(A & E) | (A & R),33.251039999999996,6.631316355793338
ImageScoring_v3,4,0.75,0.3,False,32.10154,5.763691897931891,(A & E) | (A & R),32.10154,5.763691897931891
ImageScoring_v3,4,0.75,0.4,False,34.06988,7.760989182272254,(A & E) | (A & R),34.06988,7.760989182272254
ImageScoring_v3,4,0.75,0.5,False,35.99508,9.289458969856804,(A & E) | (A & R),35.99508,9.289458969856804
ImageScoring_v3,4,0.75,0.6,False,35.604659999999996,7.666534854675819,(A & E) | (A & R),35.604659999999996,7.666534854675819
ImageScoring_v3,4,0.75,0.7,False,36.57394,8.886173820019044,(A & E) | (A & R),36.57394,8.886173820019044
ImageScoring_v3,4,0.75,0.8,False,36.67454,7.474003198051885,(A & E) | (A & R),36.67454,7.474003198051885
ImageScoring_v3,4,0.75,0.9,False,33.5113,5.578590123436755,(A & E) | (A & R),33.5113,5.578590123436755
ImageScoring_v3,4,0.75,1.0,False,38.02332,6.829476196605417,(A & E) | (A & R),38.02332,6.829476196605417
ImageScoring_v4,2,0.5,0.0,False,29.10592,6.441588933909815,A & E,29.10592,6.441588933909815
ImageScoring_v4,2,0.5,0.1,False,27.24322,6.469885051781469,A & E,27.24322,6.469885051781469
ImageScoring_v4,2,0.5,0.2,False,30.26448,8.439254697337354,A & E,30.26448,8.439254697337354
