base_social_norm,eb_social_norm,Z,gens,mu,chi,eps,alpha,q,consensus_thresh,b,c,beta,generations,convergence_period,gamma_min,gamma_max,gamma_delta,gamma_center,average_cooperation,average_consensus,G,ALWAYS_COOPERATE,DISCRIMINATE,PARADOXICALLY_DISC,ALWAYS_DEFECT,EmotionProfile.COMPETITIVE,EmotionProfile.COOPERATIVE
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,91.05,1.0,0.875,0.0,1.0,0.0,0.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.829,1.0,0.875,0.0,0.975,0.0,0.025,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.816,1.0,0.75,0.025,0.925,0.05,0.0,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.894,1.0,0.325,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.947,1.0,0.325,0.0,0.025,0.15,0.825,0.17,0.82
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.129,1.0,0.325,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.09,1.0,0.325,0.0,0.2,0.0,0.8,0.2,0.8
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.185,1.0,0.325,0.0,0.05,0.05,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.39,1.0,0.325,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.884,1.0,0.325,0.025,0.05,0.0,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.848,1.0,0.325,0.025,0.025,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.017,1.0,0.325,0.0,0.025,0.025,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.137,1.0,0.325,0.0,0.025,0.075,0.9,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.027,1.0,0.325,0.0,0.1,0.025,0.875,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.686,1.0,0.325,0.0,0.0,0.05,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.933,1.0,0.325,0.0,0.1,0.0,0.9,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.842,1.0,0.325,0.0,0.075,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.853,1.0,0.325,0.025,0.125,0.0,0.85,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.116,0.25,0.85,0.075,0.025,0.05,0.85,0.15,0.85
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.996,0.135,0.425,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.017,0.228,0.6,0.0,0.0,0.025,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.907,0.208,0.175,0.05,0.0,0.0,0.95,0.95,0.05
